CH6717212,10 LITTLE INDIANS,Agatha Christie,Pocket,1982
NY8167261102 School Cafeteria Jokes,Morgan Matthews,Troll Communications Llc,1992
MJ15862122nd Chance (Women's Murder Club (Audio)),James Patterson,Time Warner Audio Major,2002
MJ811812952 Ways to Make a Difference (52 Deck Series),Lynn Gordon,Chronicle Books,1996
195042328A Book of Love Poetry,Jon Stallworthy,Oxford University Press,1986
BK6898460A Charlie Brown Christmas,Charles  M. Schulz,Little Simon,2001
747558213A Cook's Tour,Anthony Bourdain,Bloomsbury,2002
NOV451182A Desperate Call,Laura Coburn,Onyx Books,1995
395928958A Field Guide to Eastern Forests : North America (Peterson Field Guide Series),John C. Kricher,Houghton Mifflin,1998
NY0590457A Girl's Best Friend,Harriet May Savitz,Scholastic Paperbacks,1995
NY7472756A History of Insects,Yvonne Roberts,Headline,2000
451152859A Lady of Property,Vanessa Gray,New American Library,1988
155853393A Man Called Daddy : A Celebration of Fatherhood,Hugh O'Neill,Rutledge Hill Press,1996
892967757A Mourning in Autumn,Harker Moore,Mysterious Press,2004
BK4511381A Personal Demon,David Bischoff,New Amer Library,1985
688094597A Quick Kiss of Redemption and Other Stories: Other Stories,David Means,Harpercollins,1991
MJ0743403A Season in the Highlands,Jude Deveraux,Pocket,2000
MJ3807031A Southern Family,Gail Godwin,Harper Mass Market Paperbacks,1995
CC1562450A Teacher Is Better Than 2 Books (Great Quotations),Linda Conway,Great Quotations,1992
REL039566A Valentine for You,Wendy Watson,Houghton Mifflin,1993
NY6893172A Wizard of Earthsea,Ursula  K. Le Guin,Atheneum,1991
REL916890ABC of Avalanche Safety,E. R. Lachapel,Mountaineers Books,1978
CN1931402Accidents Waiting to Happen,Simon Wood,Barclay Books,2002
CN8125455Adiamante (Adiamante),L. E. Modesitt Jr.,Tor Science Fiction,1998
380019191Affair of the Blood Stained Egg Cosy,James Anderson,Harper Mass Market Paperbacks,1983
451405021Again,Katheleen Gilles Seidel,New Amer Library,1994
394729137Airships (Vintage Contemporaries (Paperback)),Barry Hannah,Vintage Books USA,1985
BK3499207Alice im Wunderland,Lewis Carroll,Rowohlt Taschenbuch Verlag GmbH,1994
NOV394753All Fires the Fire,Julio Cortazar,Pantheon Books,1988
CN1402855All the Way to Heaven: An American Boyhood in the Himalayas,Stephen Alter,South Asia Books,1997
NOV792277Along the Inca Road : A Woman's Journey into an Ancient Empire,Karin Muller,National Geographic,2001
NOV806996Amazing Math Puzzles,Adam Hart-Davis,Sterling Publishing,1998
CC3735128American Pie (Reader's Choice),Maggie Osborne,Harlequin,2004
REL702220Amy's Children,Olga Masters,Intl Specialized Book Service,1988
REL688030An Indian Attachment,Sarah Lloyd,Harpercollins Juvenile Books,1984
NY5177039Anatomy of the Spirit: The Seven Stages of Power and Healing,Caroline Myss,Harmony,1996
BK4465143Angel Fire,Andrew M. Greeley,Warner Books Inc,1988
HK7513625Animal Encyclopedia,Dorling Kindersley Publishing Staff,Dorling Kindersley,2000
CN3953536Anne Sexton : A Biography,Diane Wood Middlebrook,Houghton Mifflin Company,1991
REL764301Antique Typewriters: From Creed to QWERTY,Michael Adler,Schiffer Publishing,2000
130412600Applied Linear Algebra (3rd Edition),Ben Noble,Prentice Hall,1987
671557378ARIANE,Catherine Lyndell,Pocket,1987
MJ0393956Art of Reasoning,David Kelley,W.W. Norton Company Ltd,1988
425136639Ashes (Berkley True Crime),James Joseph,Berkley Pub Group,1994
MJ7434703At Home in Covington (Covington),Joan Medlicott,Atria,2004
039578607Audubon's Watch: A Novel,John Gregory Brown,Houghton Mifflin Company,2001
MJ0674001Avatars of the Word: From Papyrus to Cyberspace,James J. O'Donnell,Harvard University Press,2000
NOV743219Baby Catcher : Chronicles of a Modern Midwife,Peggy Vincent,Scribner,2002
HK1575664Backstage Murder,Shelley Freydont,Kensington Publishing Corp.,1999
307084426Ballerina,Golden Books,Golden Books,1996
782903762Barney's hats,Mary Ann Dudko,Barney Pub,1993
HK8867782Battle Magic,Martin Harry Greenberg,Daw Books,1998
CC1901297Beastly Chronicles of of Saki,Saki,Pickwick Group Limited (ABM),1999
64434516Bedtime for Frances,Russell Hoban,HarperTrophy,1995
806501952Being and Nothingness: An Essay in Phenomenological Ontology,Jean Paul Sartre,Lyle Stuart Hardcover,1964
NOV300095Benjamin Franklin,Edmund S. Morgan,Yale University Press,2002
CN8818485Best New Horror 3,Stephen Jones,Pub Group West,1992
NY1308325Betty Crocker's New Chinese Cookbook,Leeann Chin,John Wiley Sons,1990
CN3453308Beyond the Draak's Teeth,Marcia J. Bennett,Del Rey Books,1989
BK1564585Big Pictures: Things On Wheels,Jerry Young,Dorling Kindersley,1994
NOV155105Birds of Alberta,Chris C. Fisher,Lone Pine@ Publishing,1998
CN3930364Black Betty (Easy Rawlins Mysteries (Hardcover)),Walter Mosley,W. W. Norton Company,1994
HK7615248Black White: Prima's Official Strategy Guide,DEAN EVANS,Prima Lifestyles,2001
NOV425041Blind Voices,Tom Reamy,Berkley Pub Group,1979
REL082176Blood Secrets (Vampire Legacy),Karen Taylor,Zebra Books,1998
MJ3165709Blue Light,Walter Mosley,Little,1998
MJ3121924Body Language,James W. Hall,St. Martin's Press,1998
NOV140432Book of Margery Kempe,Margery Kempe,Penguin USA (Paper),2000
NOV446513Boss Lady's: Arrival and Survival Plan,Jo Foxworth,Warner Books,1986
CN3731040Brand of Possession,Carole Mortimer,Harlequin Sales Corp,1981
CC8112102Breathing the Water,Denise Levertov,New Directions Publishing Corporation,1987
